#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2016-02-10 06:45:04
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2016-02-10 06:45:04 172.31.22.76 HEAD / - 80 - 54.161.51.139 Cloud+mapping+experiment.+Contact+research@pdrlabs.net - 200 0 0 1041
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2016-02-10 07:41:10
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2016-02-10 07:41:10 172.31.22.76 GET /muieblackcat - 80 - 119.188.4.3 - - 404 0 2 409
2016-02-10 07:41:10 172.31.22.76 GET /phpMyAdmin/scripts/setup.php - 80 - 119.188.4.3 - - 404 0 2 291
2016-02-10 07:41:11 172.31.22.76 GET /phpmyadmin/scripts/setup.php - 80 - 119.188.4.3 - - 404 0 2 280
2016-02-10 07:41:11 172.31.22.76 GET /myadmin/scripts/setup.php - 80 - 119.188.4.3 - - 404 0 2 274
2016-02-10 07:41:12 172.31.22.76 GET /mysqladmin/scripts/setup.php - 80 - 119.188.4.3 - - 404 0 2 284
2016-02-10 07:41:12 172.31.22.76 GET /mysql/scripts/setup.php - 80 - 119.188.4.3 - - 404 0 2 283
2016-02-10 07:41:13 172.31.22.76 GET /websql/scripts/setup.php - 80 - 119.188.4.3 - - 404 0 2 293
2016-02-10 07:41:13 172.31.22.76 GET /web/scripts/setup.php - 80 - 119.188.4.3 - - 404 0 2 281
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2016-02-10 09:50:17
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2016-02-10 09:50:17 172.31.22.76 POST /azenv.php auth=145509784585&a=PSCMN&i=874063830&p=80 80 - 95.213.177.122 Mozilla/4.0+(compatible;+MSIE+8.0;+Windows+NT+5.1;+Trident/4.0) https://proxyradar.com/ 404 0 2 266
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2016-02-10 12:16:59
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2016-02-10 12:16:59 172.31.22.76 GET / - 80 - 141.212.122.177 Mozilla/5.0+zgrab/0.x - 200 0 0 177
2016-02-10 12:23:07 172.31.22.76 GET /testproxy.php - 80 - 91.196.50.33 Mozilla/5.0+(Windows+NT+5.1;+rv:32.0)+Gecko/20100101+Firefox/31.0 - 404 0 2 193
2016-02-10 12:26:41 172.31.22.76 GET / - 80 - 128.232.110.28 Mozilla/5.0+zgrab/0.x - 200 0 0 139
