#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2016-02-22 00:48:13
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2016-02-22 00:48:13 172.31.22.76 HEAD / - 80 - 54.158.62.102 Cloud+mapping+experiment.+Contact+research@pdrlabs.net - 200 0 0 189
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2016-02-22 03:46:16
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2016-02-22 03:46:16 172.31.22.76 GET / - 80 - 128.232.110.28 Mozilla/5.0+zgrab/0.x - 200 0 0 269
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2016-02-22 05:15:55
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2016-02-22 05:15:55 172.31.22.76 GET /w00tw00t.at.blackhats.romanian.anti-sec:) - 80 - 104.214.145.133 ZmEu - 404 0 2 233
2016-02-22 05:15:55 172.31.22.76 GET /phpMyAdmin/scripts/setup.php - 80 - 104.214.145.133 ZmEu - 404 0 2 188
2016-02-22 05:15:55 172.31.22.76 GET /phpmyadmin/scripts/setup.php - 80 - 104.214.145.133 ZmEu - 404 0 2 189
2016-02-22 05:15:57 172.31.22.76 GET /pma/scripts/setup.php - 80 - 104.214.145.133 ZmEu - 404 0 2 187
2016-02-22 05:15:57 172.31.22.76 GET /myadmin/scripts/setup.php - 80 - 104.214.145.133 ZmEu - 404 0 2 187
2016-02-22 05:15:57 172.31.22.76 GET /MyAdmin/scripts/setup.php - 80 - 104.214.145.133 ZmEu - 404 0 2 189
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2016-02-22 07:21:34
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2016-02-22 07:21:34 172.31.22.76 POST /azenv.php auth=145612572535&a=PSCMN&i=874063830&p=80 80 - 95.213.177.125 Mozilla/4.0+(compatible;+MSIE+8.0;+Windows+NT+5.1;+Trident/4.0) https://proxyradar.com/ 404 0 2 353
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2016-02-22 14:23:13
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
