#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2016-02-06 03:00:54
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2016-02-06 03:00:54 172.31.22.76 HEAD / - 80 - 54.162.124.221 Cloud+mapping+experiment.+Contact+research@pdrlabs.net - 200 0 0 187
2016-02-06 03:08:31 172.31.22.76 GET /phpmyadmin/scripts/setup.php - 80 - 208.52.154.240 - - 404 0 2 218
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2016-02-06 11:40:08
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2016-02-06 11:40:08 172.31.22.76 POST /wp-login.php - 80 - 88.198.69.135 Mozilla/5.0+(Windows;+U;+Windows+NT+5.1;+en-US;+rv:1.8.1.6)+Gecko/20070725+Firefox/2.0.0.6 www.know-it.pewp-admin/ 404 0 2 390
2016-02-06 11:40:08 172.31.22.76 POST /wp-login.php - 80 - 88.198.69.135 Mozilla/5.0+(Windows;+U;+Windows+NT+5.1;+en-US;+rv:1.8.1.6)+Gecko/20070725+Firefox/2.0.0.6 www.know-it.pewp-admin/ 404 0 2 390
2016-02-06 11:40:08 172.31.22.76 POST /wp-login.php - 80 - 88.198.69.135 Mozilla/5.0+(Windows;+U;+Windows+NT+5.1;+en-US;+rv:1.8.1.6)+Gecko/20070725+Firefox/2.0.0.6 www.know-it.pewp-admin/ 404 0 2 390
2016-02-06 11:40:08 172.31.22.76 POST /wp-login.php - 80 - 88.198.69.135 Mozilla/5.0+(Windows;+U;+Windows+NT+5.1;+en-US;+rv:1.8.1.6)+Gecko/20070725+Firefox/2.0.0.6 www.know-it.pewp-admin/ 404 0 2 390
2016-02-06 11:40:08 172.31.22.76 POST /wp-login.php - 80 - 88.198.69.135 Mozilla/5.0+(Windows;+U;+Windows+NT+5.1;+en-US;+rv:1.8.1.6)+Gecko/20070725+Firefox/2.0.0.6 www.know-it.pewp-admin/ 404 0 2 390
2016-02-06 11:40:08 172.31.22.76 POST /wp-login.php - 80 - 88.198.69.135 Mozilla/5.0+(Windows;+U;+Windows+NT+5.1;+en-US;+rv:1.8.1.6)+Gecko/20070725+Firefox/2.0.0.6 www.know-it.pewp-admin/ 404 0 2 390
2016-02-06 11:40:08 172.31.22.76 POST /wp-login.php - 80 - 88.198.69.135 Mozilla/5.0+(Windows;+U;+Windows+NT+5.1;+en-US;+rv:1.8.1.6)+Gecko/20070725+Firefox/2.0.0.6 www.know-it.pewp-admin/ 404 0 2 406
